State Abre,Deaths from Animals,Population
AL,85,98682634
AK,23,14569726
AZ,115,130658024
AR,86,60151295
CA,299,776337985
CO,55,104581601
CT,25,74154436
DE,0,18545432
DC,0,12923833
FL,247,392032107
GA,161,198670995
HI,18,28084286
ID,47,32067098
IL,123,266645950
IN,78,134763304
IA,51,63697647
KS,41,59137736
KY,84,89896925
LA,79,95491059
ME,20,27696591
MD,47,120252834
MA,36,138027854
MI,138,209120484
MN,69,110696994
MS,80,61631773
MO,119,124019337
MT,41,20574410
NE,29,38140443
NV,26,54449934
NH,10,27433817
NJ,39,183527438
NM,56,41871705
NY,124,406513567
NC,180,195081073
ND,0,14429518
OH,161,241915812
OK,114,77789801
OR,47,79673648
PA,148,264535246
RI,0,22204639
SC,81,95461790
SD,22,17043864
TN,170,131259989
TX,520,519544055
UT,30,56570520
VT,17,13051465
VA,99,165355953
WA,84,139875922
WV,60,38383779
WI,116,118193381
WY,17,11452815
,4346,6416872524